,CustID,Zip_Code,Gender,Income_(per/month),Education,Age,Profession,Gourment_affinity,Cooking_affinity,Travel_affinity,social_media_affinity,qsr_visits,competitor_visits,food_apps,premium_customer_flag,non_premium_customers,premium_customer_model_probability,non_premium_customer_model_probability,Customer_Classification,Potential_Non_potential_customer_classification
46,47,400028,Male,174690,Bachelor's Degree,29,Management_Consultant,1,1,1,1,1,22,1,0,1,0.59,0.54,Non_Premium_Customer,Prospect_Potential_Customer
47,48,400028,Female,42437,Bachelor's Degree,30,Investment Banker,0,0,1,0,4,23,0,1,0,0.7,0.36,Premium_Customer,Prospect_Potential_Customer
48,49,400028,Male,167440,Master's Degree,24,Blockchain_Developer,1,0,1,0,14,29,1,1,0,0.41,0.49,Non_Premium_Customer,Prospect_Potential_Customer
49,50,400028,Male,58244,Post Doctoral Degree,45,Blockchain_Developer,0,0,0,0,19,19,0,0,1,0.5,0.38,Non_Potential_Customer,Prospect_Non_Potential_Customer
50,51,400034,Male,198768,Bachelor's Degree,60,Investment Banker,0,1,0,0,2,30,0,0,1,0.38,0.48,Non_Potential_Customer,Prospect_Non_Potential_Customer
51,52,400034,Male,138067,Bachelor's Degree,31,Data_Scientist,1,1,1,0,6,14,1,0,1,0.56,0.6,Non_Premium_Customer,Prospect_Potential_Customer
52,53,400034,Male,58524,Bachelor's Degree,29,Data_Scientist,1,1,1,1,1,7,1,0,1,0.34,0.55,Non_Premium_Customer,Prospect_Potential_Customer
53,54,400034,Male,87468,Master's Degree,33,Machine_Learning_Expert,1,1,0,1,3,1,1,1,0,0.66,0.49,Potential_Customer,Prospect_Potential_Customer
54,55,400034,Female,79811,Bachelor's Degree,57,Investment Banker,1,1,1,1,23,27,0,0,1,0.54,0.79,Non_Premium_Customer,Prospect_Potential_Customer
55,56,400034,Male,127808,Post Doctoral Degree,44,Full_Stack_Software_Developer,1,0,1,0,10,23,0,0,1,0.62,0.51,Non_Premium_Customer,Prospect_Potential_Customer
56,57,400034,Female,55976,Bachelor's Degree,33,Blockchain_Developer,1,0,0,0,7,17,1,1,0,0.62,0.38,Non_Potential_Customer,Prospect_Non_Potential_Customer
57,58,400034,Female,138212,Bachelor's Degree,39,Product_Manager,0,1,0,0,7,8,0,0,1,0.42,0.69,Non_Premium_Customer,Prospect_Potential_Customer
58,59,400034,Male,182253,Post Doctoral Degree,39,Management_Consultant,1,1,1,1,24,25,0,0,1,0.5,0.58,Non_Premium_Customer,Prospect_Potential_Customer
59,60,400034,Male,124640,Post Doctoral Degree,38,Blockchain_Developer,0,1,1,1,21,17,0,0,1,0.28,0.56,Non_Premium_Customer,Prospect_Potential_Customer
60,61,400056,Female,165384,Bachelor's Degree,26,Product_Manager,0,1,1,0,21,19,1,1,0,0.58,0.34,Non_Potential_Customer,Prospect_Non_Potential_Customer
61,62,400056,Female,173856,Master's Degree,52,Corporate_Lawyer,0,1,1,1,19,21,0,0,1,0.45,0.43,Non_Potential_Customer,Prospect_Non_Potential_Customer
62,63,400056,Male,98158,Post Doctoral Degree,24,Investment Banker,1,0,0,0,13,8,0,0,1,0.73,0.6,Potential_Customer,Prospect_Potential_Customer
63,64,400056,Male,149177,Post Doctoral Degree,59,Investment Banker,1,1,1,1,25,4,0,1,0,0.3,0.56,Non_Premium_Customer,Prospect_Potential_Customer
64,65,400056,Male,85879,Master's Degree,34,Blockchain_Developer,1,1,0,1,29,19,0,0,1,0.49,0.59,Non_Premium_Customer,Prospect_Potential_Customer
65,66,400056,Female,113031,Post Doctoral Degree,43,Machine_Learning_Expert,0,1,1,0,24,23,1,1,0,0.49,0.47,Non_Potential_Customer,Prospect_Non_Potential_Customer
66,67,400056,Female,64757,Post Doctoral Degree,29,Corporate_Lawyer,0,1,1,0,3,6,1,0,1,0.76,0.54,Potential_Customer,Prospect_Potential_Customer
67,68,400056,Male,165054,Post Doctoral Degree,31,Full_Stack_Software_Developer,1,1,0,1,26,10,1,0,1,0.63,0.78,Non_Premium_Customer,Prospect_Potential_Customer
68,69,400056,Female,172554,Post Doctoral Degree,41,Product_Manager,0,1,1,1,17,14,1,1,0,0.55,0.46,Non_Potential_Customer,Prospect_Non_Potential_Customer
69,70,400056,Male,99484,Bachelor's Degree,34,Product_Manager,1,1,0,0,20,3,0,0,1,0.52,0.73,Non_Premium_Customer,Prospect_Potential_Customer
70,71,400063,Male,44971,Master's Degree,59,Data_Scientist,1,0,1,1,18,6,0,0,1,0.25,0.65,Non_Premium_Customer,Prospect_Potential_Customer
71,72,400063,Male,140090,Master's Degree,24,Full_Stack_Software_Developer,0,1,1,0,8,4,1,1,0,0.58,0.24,Non_Potential_Customer,Prospect_Non_Potential_Customer
72,73,400063,Male,45812,Post Doctoral Degree,38,Management_Consultant,0,1,0,0,11,27,0,0,1,0.46,0.67,Non_Premium_Customer,Prospect_Potential_Customer
73,74,400063,Male,187038,Bachelor's Degree,53,Management_Consultant,0,0,0,1,1,10,1,0,1,0.34,0.44,Non_Potential_Customer,Prospect_Non_Potential_Customer
74,75,400063,Male,99360,Bachelor's Degree,60,Investment Banker,0,1,0,1,4,13,0,0,1,0.47,0.57,Non_Premium_Customer,Prospect_Potential_Customer
75,76,400063,Male,107702,Bachelor's Degree,60,Full_Stack_Software_Developer,0,1,1,1,19,4,0,0,1,0.49,0.6,Non_Premium_Customer,Prospect_Potential_Customer
76,77,400063,Male,52350,Post Doctoral Degree,33,Management_Consultant,0,0,0,1,21,25,0,0,1,0.48,0.55,Non_Premium_Customer,Prospect_Potential_Customer
77,78,400063,Female,61304,Bachelor's Degree,36,Full_Stack_Software_Developer,0,0,0,0,26,5,1,0,1,0.43,0.6,Non_Premium_Customer,Prospect_Potential_Customer
78,79,400063,Male,113918,Master's Degree,59,Corporate_Lawyer,0,1,1,0,17,23,0,0,1,0.35,0.71,Non_Premium_Customer,Prospect_Potential_Customer
79,80,400063,Female,186571,Bachelor's Degree,57,Corporate_Lawyer,1,1,0,0,22,24,1,1,0,0.41,0.41,Non_Potential_Customer,Prospect_Non_Potential_Customer
80,81,400093,Female,131666,Master's Degree,60,Blockchain_Developer,1,1,1,0,27,21,0,1,0,0.46,0.49,Non_Premium_Customer,Prospect_Potential_Customer
81,82,400093,Female,117928,Master's Degree,35,Data_Scientist,0,0,1,1,16,25,0,0,1,0.4,0.35,Non_Potential_Customer,Prospect_Non_Potential_Customer
82,83,400093,Male,123148,Bachelor's Degree,24,Full_Stack_Software_Developer,1,1,0,0,4,20,0,1,0,0.73,0.45,Premium_Customer,Prospect_Potential_Customer
83,84,400093,Male,101734,Post Doctoral Degree,35,Corporate_Lawyer,1,1,0,1,10,8,1,0,1,0.43,0.59,Non_Premium_Customer,Prospect_Potential_Customer
84,85,400093,Male,35366,Post Doctoral Degree,43,Management_Consultant,0,1,0,0,2,16,1,0,1,0.48,0.27,Non_Potential_Customer,Prospect_Non_Potential_Customer
85,86,400093,Female,161763,Post Doctoral Degree,34,Data_Scientist,0,0,1,0,25,14,1,1,0,0.68,0.4,Premium_Customer,Prospect_Potential_Customer
86,87,400093,Male,102006,Post Doctoral Degree,27,Data_Scientist,1,0,1,1,17,3,0,0,1,0.73,0.54,Potential_Customer,Prospect_Potential_Customer
87,88,400093,Male,166928,Post Doctoral Degree,41,Management_Consultant,1,1,1,1,26,10,1,0,1,0.54,0.6,Non_Premium_Customer,Prospect_Potential_Customer
88,89,400093,Female,113907,Master's Degree,46,Product_Manager,0,0,0,0,25,19,1,1,0,0.43,0.38,Non_Potential_Customer,Prospect_Non_Potential_Customer
89,90,400093,Female,52663,Master's Degree,34,Blockchain_Developer,1,0,1,1,11,3,0,0,1,0.6,0.43,Non_Potential_Customer,Prospect_Non_Potential_Customer
90,91,400069,Female,53436,Post Doctoral Degree,30,Blockchain_Developer,1,1,1,1,22,6,0,0,1,0.45,0.53,Non_Premium_Customer,Prospect_Potential_Customer
91,92,400069,Female,56281,Master's Degree,60,Full_Stack_Software_Developer,1,1,0,0,30,18,1,1,0,0.67,0.47,Premium_Customer,Prospect_Potential_Customer
92,93,400069,Male,196880,Master's Degree,33,Blockchain_Developer,0,1,0,1,17,9,0,0,1,0.47,0.53,Non_Premium_Customer,Prospect_Potential_Customer
93,94,400069,Male,91283,Bachelor's Degree,48,Management_Consultant,1,1,0,0,3,13,0,1,0,0.5,0.37,Non_Potential_Customer,Prospect_Non_Potential_Customer
94,95,400069,Female,180497,Post Doctoral Degree,24,Blockchain_Developer,1,1,1,1,22,14,1,1,0,0.69,0.61,Potential_Customer,Prospect_Potential_Customer
95,96,400069,Female,113263,Post Doctoral Degree,54,Management_Consultant,1,0,0,1,2,21,0,1,0,0.49,0.27,Non_Potential_Customer,Prospect_Non_Potential_Customer
96,97,400069,Female,38459,Post Doctoral Degree,48,Corporate_Lawyer,0,1,1,0,29,16,1,0,1,0.35,0.57,Non_Premium_Customer,Prospect_Potential_Customer
97,98,400069,Female,82687,Bachelor's Degree,39,Corporate_Lawyer,0,1,1,0,26,18,1,0,1,0.4,0.45,Non_Potential_Customer,Prospect_Non_Potential_Customer
98,99,400069,Female,133338,Post Doctoral Degree,47,Machine_Learning_Expert,0,0,1,1,12,21,0,1,0,0.73,0.25,Premium_Customer,Prospect_Potential_Customer
99,100,400069,Male,116167,Bachelor's Degree,44,Corporate_Lawyer,1,1,0,0,11,14,0,1,0,0.58,0.55,Non_Premium_Customer,Prospect_Potential_Customer
100,101,400020,Male,189217,Master's Degree,35,Blockchain_Developer,1,0,1,1,19,11,1,1,0,0.33,0.74,Non_Premium_Customer,Prospect_Potential_Customer
101,102,400020,Female,76431,Post Doctoral Degree,51,Data_Scientist,0,1,1,0,28,27,0,0,1,0.33,0.68,Non_Premium_Customer,Prospect_Potential_Customer
102,103,400020,Female,181681,Master's Degree,54,Product_Manager,0,1,1,0,13,8,1,0,1,0.44,0.36,Non_Potential_Customer,Prospect_Non_Potential_Customer
103,104,400020,Female,82365,Post Doctoral Degree,55,Investment Banker,0,0,0,1,6,23,0,0,1,0.46,0.28,Non_Potential_Customer,Prospect_Non_Potential_Customer
104,105,400020,Female,79132,Post Doctoral Degree,54,Machine_Learning_Expert,1,0,1,1,30,4,1,0,1,0.32,0.58,Non_Premium_Customer,Prospect_Potential_Customer
105,106,400020,Female,179293,Post Doctoral Degree,32,Full_Stack_Software_Developer,0,1,1,1,3,16,0,1,0,0.73,0.44,Premium_Customer,Prospect_Potential_Customer
106,107,400020,Female,42849,Bachelor's Degree,38,Data_Scientist,0,1,1,1,14,13,1,0,1,0.26,0.57,Non_Premium_Customer,Prospect_Potential_Customer
107,108,400020,Female,128039,Bachelor's Degree,34,Management_Consultant,1,1,0,0,10,13,0,0,1,0.53,0.64,Non_Premium_Customer,Prospect_Potential_Customer
108,109,400020,Male,74369,Post Doctoral Degree,51,Machine_Learning_Expert,1,1,0,0,3,16,0,0,1,0.36,0.51,Non_Premium_Customer,Prospect_Potential_Customer
109,110,400020,Female,100814,Post Doctoral Degree,30,Machine_Learning_Expert,1,0,0,0,24,5,1,0,1,0.73,0.56,Potential_Customer,Prospect_Potential_Customer
110,111,400089,Female,193918,Bachelor's Degree,59,Full_Stack_Software_Developer,1,0,0,0,11,14,1,0,1,0.7,0.24,Premium_Customer,Prospect_Potential_Customer
111,112,400089,Male,166198,Bachelor's Degree,55,Management_Consultant,0,1,0,1,15,9,1,0,1,0.28,0.67,Non_Premium_Customer,Prospect_Potential_Customer
112,113,400089,Male,92109,Post Doctoral Degree,36,Management_Consultant,1,0,1,0,15,26,1,1,0,0.58,0.47,Non_Potential_Customer,Prospect_Non_Potential_Customer
113,114,400089,Female,172457,Master's Degree,51,Machine_Learning_Expert,0,1,0,1,24,11,0,0,1,0.49,0.52,Non_Premium_Customer,Prospect_Potential_Customer
114,115,400089,Male,114058,Bachelor's Degree,52,Corporate_Lawyer,0,0,1,1,15,19,0,0,1,0.32,0.59,Non_Premium_Customer,Prospect_Potential_Customer
115,116,400089,Female,193382,Master's Degree,56,Investment Banker,1,1,1,1,6,5,0,0,1,0.58,0.62,Non_Premium_Customer,Prospect_Potential_Customer
116,117,400089,Male,193605,Bachelor's Degree,28,Management_Consultant,0,0,0,0,30,20,0,1,0,0.61,0.42,Non_Potential_Customer,Prospect_Non_Potential_Customer
117,118,400089,Female,58298,Post Doctoral Degree,45,Full_Stack_Software_Developer,0,0,0,1,26,25,1,0,1,0.32,0.67,Non_Premium_Customer,Prospect_Potential_Customer
118,119,400089,Male,199808,Master's Degree,41,Data_Scientist,1,0,0,0,8,18,1,0,1,0.56,0.49,Non_Premium_Customer,Prospect_Potential_Customer
119,120,400089,Male,124669,Master's Degree,33,Full_Stack_Software_Developer,0,1,1,1,24,26,1,0,1,0.3,0.84,Non_Premium_Customer,Prospect_Potential_Customer
120,121,400021,Male,145488,Bachelor's Degree,53,Full_Stack_Software_Developer,0,1,1,1,19,16,0,0,1,0.47,0.47,Non_Potential_Customer,Prospect_Non_Potential_Customer
121,122,400021,Female,158949,Bachelor's Degree,39,Machine_Learning_Expert,0,1,0,0,24,26,1,0,1,0.42,0.7,Non_Premium_Customer,Prospect_Potential_Customer
122,123,400021,Female,111628,Bachelor's Degree,38,Data_Scientist,0,1,1,0,18,1,0,0,1,0.52,0.48,Non_Potential_Customer,Prospect_Non_Potential_Customer
123,124,400021,Male,197342,Bachelor's Degree,48,Investment Banker,1,0,0,0,3,19,1,0,1,0.59,0.34,Non_Potential_Customer,Prospect_Non_Potential_Customer
124,125,400021,Female,93319,Post Doctoral Degree,49,Blockchain_Developer,0,0,0,0,1,19,0,1,0,0.76,0.29,Premium_Customer,Prospect_Potential_Customer
125,126,400021,Male,140605,Master's Degree,55,Management_Consultant,0,1,0,0,23,3,0,1,0,0.33,0.6,Non_Premium_Customer,Prospect_Potential_Customer
126,127,400021,Female,104888,Bachelor's Degree,59,Full_Stack_Software_Developer,1,0,0,0,14,11,1,0,1,0.68,0.34,Premium_Customer,Prospect_Potential_Customer
127,128,400021,Female,35877,Bachelor's Degree,54,Management_Consultant,0,0,0,0,30,26,0,1,0,0.58,0.5,Non_Premium_Customer,Prospect_Potential_Customer
128,129,400021,Male,109398,Master's Degree,54,Full_Stack_Software_Developer,1,0,1,1,26,18,1,1,0,0.22,0.61,Non_Premium_Customer,Prospect_Potential_Customer
129,130,400021,Male,68061,Post Doctoral Degree,29,Blockchain_Developer,0,1,1,1,25,16,0,0,1,0.6,0.6,Non_Premium_Customer,Prospect_Potential_Customer
130,131,400072,Female,92175,Bachelor's Degree,55,Product_Manager,0,1,1,1,16,7,0,1,0,0.64,0.38,Non_Potential_Customer,Prospect_Non_Potential_Customer
131,132,400072,Female,154823,Bachelor's Degree,58,Product_Manager,1,1,1,0,7,2,0,0,1,0.56,0.59,Non_Premium_Customer,Prospect_Potential_Customer
132,133,400072,Female,138915,Master's Degree,36,Corporate_Lawyer,0,1,0,1,4,18,0,0,1,0.59,0.36,Non_Potential_Customer,Prospect_Non_Potential_Customer
133,134,400072,Male,123861,Master's Degree,43,Corporate_Lawyer,1,0,1,1,10,28,1,0,1,0.54,0.69,Non_Premium_Customer,Prospect_Potential_Customer
134,135,400072,Female,186728,Bachelor's Degree,55,Full_Stack_Software_Developer,0,0,1,1,19,20,0,1,0,0.42,0.26,Non_Potential_Customer,Prospect_Non_Potential_Customer
135,136,400072,Male,171535,Master's Degree,49,Product_Manager,1,0,1,0,16,6,0,0,1,0.32,0.58,Non_Premium_Customer,Prospect_Potential_Customer
136,137,400072,Female,174692,Post Doctoral Degree,31,Management_Consultant,1,1,1,0,11,7,1,0,1,0.7,0.47,Premium_Customer,Prospect_Potential_Customer
137,138,400072,Female,45754,Post Doctoral Degree,59,Blockchain_Developer,1,1,1,0,6,20,1,0,1,0.57,0.38,Non_Potential_Customer,Prospect_Non_Potential_Customer
138,139,400072,Female,78679,Bachelor's Degree,33,Machine_Learning_Expert,0,1,1,1,15,27,1,0,1,0.43,0.65,Non_Premium_Customer,Prospect_Potential_Customer
139,140,400072,Female,197782,Post Doctoral Degree,42,Management_Consultant,0,1,1,0,18,4,1,0,1,0.61,0.38,Non_Potential_Customer,Prospect_Non_Potential_Customer
140,141,400078,Male,140936,Bachelor's Degree,39,Product_Manager,1,1,0,1,22,10,0,1,0,0.46,0.69,Non_Premium_Customer,Prospect_Potential_Customer
141,142,400078,Female,171179,Master's Degree,32,Management_Consultant,0,1,0,0,30,22,1,0,1,0.57,0.58,Non_Premium_Customer,Prospect_Potential_Customer
142,143,400078,Female,166814,Master's Degree,60,Corporate_Lawyer,0,0,1,0,24,17,0,0,1,0.3,0.47,Non_Potential_Customer,Prospect_Non_Potential_Customer
143,144,400078,Male,47757,Master's Degree,25,Management_Consultant,0,1,1,0,13,26,1,0,1,0.5,0.55,Non_Premium_Customer,Prospect_Potential_Customer
144,145,400078,Female,130722,Master's Degree,24,Product_Manager,1,0,0,0,16,23,1,0,1,0.66,0.29,Premium_Customer,Prospect_Potential_Customer
145,146,400078,Male,130549,Bachelor's Degree,41,Data_Scientist,0,1,0,1,21,22,1,0,1,0.26,0.82,Non_Premium_Customer,Prospect_Potential_Customer
146,147,400078,Female,88563,Post Doctoral Degree,36,Blockchain_Developer,0,1,1,1,16,13,0,0,1,0.39,0.35,Non_Potential_Customer,Prospect_Non_Potential_Customer
147,148,400078,Female,90188,Master's Degree,28,Management_Consultant,1,1,0,0,7,6,1,0,1,0.72,0.37,Premium_Customer,Prospect_Potential_Customer
148,149,400078,Male,70237,Post Doctoral Degree,47,Machine_Learning_Expert,1,0,1,1,24,10,1,0,1,0.58,0.63,Non_Premium_Customer,Prospect_Potential_Customer
149,150,400078,Female,30818,Master's Degree,42,Management_Consultant,1,0,1,1,14,10,0,0,1,0.6,0.46,Non_Potential_Customer,Prospect_Non_Potential_Customer
150,151,400050,Male,80103,Master's Degree,57,Full_Stack_Software_Developer,1,1,1,1,18,12,0,0,1,0.5,0.64,Non_Premium_Customer,Prospect_Potential_Customer
151,152,400050,Female,43919,Post Doctoral Degree,27,Data_Scientist,1,0,0,0,22,15,1,0,1,0.63,0.42,Non_Potential_Customer,Prospect_Non_Potential_Customer
152,153,400050,Male,35212,Post Doctoral Degree,55,Product_Manager,0,0,1,1,18,28,1,1,0,0.39,0.63,Non_Premium_Customer,Prospect_Potential_Customer
153,154,400050,Male,116989,Bachelor's Degree,35,Full_Stack_Software_Developer,0,0,1,1,14,21,0,1,0,0.51,0.32,Non_Potential_Customer,Prospect_Non_Potential_Customer
154,155,400050,Female,56566,Master's Degree,53,Machine_Learning_Expert,0,1,1,1,20,23,1,1,0,0.53,0.53,Non_Premium_Customer,Prospect_Potential_Customer
155,156,400050,Female,69576,Master's Degree,56,Machine_Learning_Expert,1,0,0,1,24,24,1,1,0,0.53,0.61,Non_Premium_Customer,Prospect_Potential_Customer
156,157,400050,Male,161434,Bachelor's Degree,54,Corporate_Lawyer,0,0,1,1,7,9,1,1,0,0.64,0.32,Non_Potential_Customer,Prospect_Non_Potential_Customer
157,158,400050,Female,182025,Post Doctoral Degree,56,Product_Manager,1,0,1,1,15,3,1,0,1,0.35,0.6,Non_Premium_Customer,Prospect_Potential_Customer
158,159,400050,Female,39630,Master's Degree,43,Blockchain_Developer,0,1,1,1,17,22,1,0,1,0.3,0.65,Non_Premium_Customer,Prospect_Potential_Customer
159,160,400050,Male,184771,Bachelor's Degree,57,Investment Banker,1,0,1,1,24,14,1,0,1,0.38,0.62,Non_Premium_Customer,Prospect_Potential_Customer
160,161,400092,Male,191726,Post Doctoral Degree,46,Corporate_Lawyer,0,0,0,1,2,25,1,0,1,0.47,0.45,Non_Potential_Customer,Prospect_Non_Potential_Customer
161,162,400092,Male,34987,Master's Degree,26,Corporate_Lawyer,1,0,1,1,25,6,0,0,1,0.47,0.49,Non_Premium_Customer,Prospect_Potential_Customer
